,0%,9%,9%,9%,9%,9%,0%,,,,,0%,8.9%,8.9%,8.9%,8.9%,8.9%,0%,,,,,,,,Total inventory ,-0.51,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,0,236,239,242,242,242,0,,Sales adder to FOH and Fees rate calculation (enter only addtional business TO) /  Kcur,,,,,,,,,1000,,,,,,,,AR,-0.2,,,,,,,,,,,,,,,,,,,,,
,0%,25%,26%,26%,26%,26%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,TWC,0.7,,,,,,,,,,,,,,,,,,,,,
Depreciation,18,18,18,18,18,0,0,,Lock Min FOH (sales %),,,0,28,28,28,28,28,0,,,,,,,,CAPEX,0.00,,,,,,,,,,,,,,,,,,,,,
Financial cost,10,9,20,6,-9,-26,-43,,,,,3%,3%,3%,3%,3%,3%,3%,,,,,,,,Business link ,0.0032,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Process Capex,0.000,,,,,,,,,,,,,,,,,,,,,
Operating Income,-27,209,201,218,234,267,43,,Lock Min Fees (sales %),,,0,14,14,14,14,14,0,,,,,,,,Supplier tooling CAPEX,0.000,,,,,,,,,,,,,,,,,,,,,
,0%,22%,22%,23%,25%,29%,0%,,,,,1.5%,1.5%,1.5%,1.5%,1.5%,1.5%,1.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxes,-7,52,50,55,58,67,11,,,,,,,,,,,,,,,,,,,ROCE,-66%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net result,-20,157,151,164,175,201,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0%,17%,16%,18%,19%,22%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,0,236,239,242,242,242,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company tax,7,-52,-50,-55,-58,-67,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPEX,-88,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWC,0,-288,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial cost,-10,-9,-20,-6,9,26,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax on dividend,0,0,-25,-27,-29,-30,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash ,-90,-114,143,154,164,170,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cum cash ,-90,-204,-61,93,256,427,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,1.552,RMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCE,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPV (20%),0.0,KRMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVOCAPEX +TOOL,88,0,0,0,0,0,0,,WARNING: Integrates margin on Tooling solt to customer and potential supplier business link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation Y1,17.5,17.5,17.5,17.5,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation Y2,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation Y3,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation Y4,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation Y5,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation,18,18,18,18,18,0,0,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024,2025,2026,2027,2028,2029,2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,0,31,31,31,31,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,0,-249,-249,-249,-249,-249,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FP ,0,-48,-48,-48,-48,-48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIP,0,-6,-6,-5,-5,-5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM,0,-16,-16,-16,-16,-16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWC,0,-288,-288,-288,-288,-288,0,,Taux de Recuperation DTWC:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWC,0,-288,0,0,0,0,0,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTWC (%),,-31%,-31%,-31%,-31%,-31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
